"ID","Domain","Diff","Question","Canonical URL","Extract This Field","Grading","BD Tool","Update Freq","Ground Truth Region","Tolerance","Optimal Path","Grading Notes","Why It Matters"
"v1_rec_001","recruiting_linkedin","easy","How many employees are listed on LinkedIn for OpenAI right now?","https://www.linkedin.com/company/openai/","LinkedIn employees_in_linkedin integer","numeric_range","web_data_linkedin_company_profile","headcount updates","US","+/- 100","1 structured LinkedIn company profile call","Use the structured LinkedIn employees_in_linkedin field; reject company size range, follower count, and website estimates.","AI-company headcount is a recruiting and investor signal."
"v1_rec_002","recruiting_linkedin","easy","What is the current follower count on OpenAI's LinkedIn company page?","https://www.linkedin.com/company/openai/","LinkedIn followers integer","numeric_range","web_data_linkedin_company_profile","daily","US","+/- 5000","1 structured LinkedIn company profile call","Use the structured LinkedIn followers field; reject employee count and website traffic estimates.","Live company audience signal for a highly watched AI lab."
"v1_rec_003","recruiting_linkedin","easy","How many employees are listed on LinkedIn for Anthropic right now?","https://www.linkedin.com/company/anthropicresearch/","LinkedIn employees_in_linkedin integer","numeric_range","web_data_linkedin_company_profile","headcount updates","US","+/- 100","1 structured LinkedIn company profile call","Use the structured LinkedIn employees_in_linkedin field; reject company size range, follower count, and website estimates.","Recruiting audiences care deeply about AI-company growth."
"v1_rec_004","recruiting_linkedin","easy","What is the current follower count on Anthropic's LinkedIn company page?","https://www.linkedin.com/company/anthropicresearch/","LinkedIn followers integer","numeric_range","web_data_linkedin_company_profile","daily","US","+/- 50000","1 structured LinkedIn company profile call","Use the structured LinkedIn followers field; reject employee count and website traffic estimates.","Measures public recruiting interest in a leading AI company."
"v1_rec_005","recruiting_linkedin","easy","How many employees are listed on LinkedIn for Databricks right now?","https://www.linkedin.com/company/databricks/","LinkedIn employees_in_linkedin integer","numeric_range","web_data_linkedin_company_profile","headcount updates","US","+/- 100","1 structured LinkedIn company profile call","Use the structured LinkedIn employees_in_linkedin field; reject company size range, follower count, and website estimates.","Databricks is a high-signal IPO and recruiting company."
"v1_rec_006","recruiting_linkedin","easy","What is the current follower count on Perplexity's LinkedIn company page?","https://www.linkedin.com/company/perplexity-ai/","LinkedIn followers integer","numeric_range","web_data_linkedin_company_profile","daily","US","+/- 5000","1 structured LinkedIn company profile call","Use the structured LinkedIn followers field; reject employee count and website traffic estimates.","AI startup audience growth is a shareable live metric."
"v1_rec_007","recruiting_linkedin","easy","How many employees are listed on LinkedIn for Scale AI right now?","https://www.linkedin.com/company/scale-ai/","LinkedIn employees_in_linkedin integer","numeric_range","web_data_linkedin_company_profile","headcount updates","US","+/- 100","1 structured LinkedIn company profile call","Use the structured LinkedIn employees_in_linkedin field; reject company size range, follower count, and website estimates.","Scale AI is a recognizable AI-infrastructure hiring signal."
"v1_rec_008","recruiting_linkedin","easy","What is the current follower count on Nvidia's LinkedIn company page?","https://www.linkedin.com/company/nvidia/","LinkedIn followers integer","numeric_range","web_data_linkedin_company_profile","daily","US","+/- 10000","1 structured LinkedIn company profile call","Use the structured LinkedIn followers field; reject employee count and website traffic estimates.","Nvidia is the mainstream AI-market social signal."
"v1_rec_009","recruiting_linkedin","easy","How many employees are listed on LinkedIn for Stripe right now?","https://www.linkedin.com/company/stripe/","LinkedIn employees_in_linkedin integer","numeric_range","web_data_linkedin_company_profile","headcount updates","US","+/- 100","1 structured LinkedIn company profile call","Use the structured LinkedIn employees_in_linkedin field; reject company size range, follower count, and website estimates.","Stripe is a major tech recruiting benchmark."
"v1_rec_010","recruiting_linkedin","easy","How many employees are listed on LinkedIn for Snowflake right now?","https://www.linkedin.com/company/snowflake-computing/","LinkedIn employees_in_linkedin integer","numeric_range","web_data_linkedin_company_profile","headcount updates","US","+/- 100","1 structured LinkedIn company profile call","Use the structured LinkedIn employees_in_linkedin field; reject company size range, follower count, and website estimates.","Enterprise software headcount is useful for BI audiences."
